"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 04:41:08 UTC 2023","Fri Aug 04 04:41:18 UTC 2023","9368","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Aug 04 04:15:08 UTC 2023","Fri Aug 04 04:15:12 UTC 2023","4395","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Aug 04 02:41:17 UTC 2023","Fri Aug 04 02:41:44 UTC 2023","26517","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Aug 04 02:51:07 UTC 2023","Fri Aug 04 02:51:11 UTC 2023","4545","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Aug 04 03:52:41 UTC 2023","Fri Aug 04 03:52:45 UTC 2023","3755","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Aug 04 02:57:08 UTC 2023","Fri Aug 04 02:57:08 UTC 2023","726","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Aug 04 04:59:09 UTC 2023","Fri Aug 04 04:59:12 UTC 2023","2316","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Aug 04 03:52:45 UTC 2023","Fri Aug 04 03:52:48 UTC 2023","3206","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Aug 04 03:43:47 UTC 2023","Fri Aug 04 03:43:49 UTC 2023","1692","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Aug 04 02:47:50 UTC 2023","Fri Aug 04 02:47:58 UTC 2023","7929","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Aug 04 02:51:11 UTC 2023","Fri Aug 04 02:52:24 UTC 2023","72624","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Aug 04 03:20:01 UTC 2023","Fri Aug 04 03:20:04 UTC 2023","3128","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Aug 04 03:43:23 UTC 2023","Fri Aug 04 03:43:42 UTC 2023","19181","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Aug 04 02:56:16 UTC 2023","Fri Aug 04 02:56:21 UTC 2023","5614","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Aug 04 04:20:17 UTC 2023","Fri Aug 04 04:20:32 UTC 2023","14833","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Aug 04 04:58:14 UTC 2023","Fri Aug 04 04:58:17 UTC 2023","3201","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Aug 04 02:37:55 UTC 2023","Fri Aug 04 02:38:05 UTC 2023","10354","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Aug 04 04:57:55 UTC 2023","Fri Aug 04 04:58:14 UTC 2023","19077","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Aug 04 03:00:21 UTC 2023","Fri Aug 04 03:00:23 UTC 2023","2456","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Aug 04 04:20:32 UTC 2023","Fri Aug 04 04:20:59 UTC 2023","26424","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Aug 04 04:41:51 UTC 2023","Fri Aug 04 04:41:55 UTC 2023","3846","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Aug 04 02:27:54 UTC 2023","Fri Aug 04 02:28:19 UTC 2023","25020","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
